Year,Quarter,Location Description,Data Source,Topic Description,Measure Description,Provision Group Description,Provision,Value,Citation,Enacted Date,Effective Date,Comments
1995,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1996,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1997,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
1998,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
1999,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2000,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2001,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2002,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2003,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2004,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2005,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2013,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2013,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2013,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2013,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2014,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2014,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2014,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2014,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2015,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2015,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2015,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2015,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2016,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2016,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2016,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2016,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2017,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2017,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2017,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2017,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2018,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2018,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2018,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2018,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
1995,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1996,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1997,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1998,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1999,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2000,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2001,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2002,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2003,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2004,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2005,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2006,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2006,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2006,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2006,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2007,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2007,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2007,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2007,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2008,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2008,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2008,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2008,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2009,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2009,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2009,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2009,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2010,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2010,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2010,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2010,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2011,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2011,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2011,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2011,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2012,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2012,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2012,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2012,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2013,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2013,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2013,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2013,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2014,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2014,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2014,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2014,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2015,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2015,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2015,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2015,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2016,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2016,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2016,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2016,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2017,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2017,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2017,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2017,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2018,4,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2018,3,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2018,2,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
2018,1,Alaska,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1995,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
1996,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
1997,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
1998,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
1999,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2000,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2001,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2002,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2003,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2004,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2005,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2006,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2006,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2006,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2006,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2007,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2007,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2007,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2007,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2008,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2008,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2008,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2008,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2009,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2009,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2009,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2009,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2010,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2010,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2010,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2010,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2011,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2011,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2011,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2011,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2012,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2012,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2012,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2012,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2013,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2013,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2013,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2013,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2014,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2014,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2014,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2014,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2015,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2015,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2015,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2015,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2016,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2016,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2016,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2016,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2017,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2017,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2017,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2017,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2018,4,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2018,3,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2018,2,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
2018,1,Arizona,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARIZ. REV. STAT. § 13-3622,1972,1972,
1995,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1996,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1997,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1998,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1999,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARK. CODE ANN. § 5-27-227(b)(2) ,1999,1999,
2000,4,Arkansas,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ARK. CODE ANN. § 5-27-227(b)(2) ,1999,1999,
